operativo|id_casillero|padre|tipoc|tipoc__denominacion|casillero|orden|ok|nombre|tipovar|longitud|tipoe|aclaracion|salto|unidad_analisis|cantidad_resumen|irrepetible|despliegue|ver_id|optativo|orden_total|ultimo_ancestro|formulario_principal|var_name|var_name_especial|expresion_habilitar|valor_ns_nc|valor_sin_dato|leer|calculada|libre|especial
repsic211|SC5|MG|P|pregunta|SC5|160|✔|¿Donde Nació ?|opciones|||Anote código||||true||||20;110;120;160|F:F2||sc5||||||||
repsic211|SC5/1|SC5|O|opción|1|1|✔|En esta ciudad||||||||||||20;110;120;160;1|F:F2||||||||||
repsic211|SC5/2|SC5|O|opción|2|2|✔|En la Provincia de Bs. As.||||||||||||20;110;120;160;2|F:F2||||||||||
repsic211|SC5/3|SC5|O|opción|3|3|✔|En otra provincia||||||||||||20;110;120;160;3|F:F2||||||||||
repsic211|SC5/4|SC5|O|opción|4|4|✔|En otro país||||||||||||20;110;120;160;4|F:F2||||||||||
repsic211|SC5/88|SC5|O|opción|88|5|✔|NS||||||||||||20;110;120;160;5|F:F2||||||||||
repsic211|SC5/99|SC5|O|opción|99|6|✔|NC||||||||||||20;110;120;160;6|F:F2||||||||||
repsic211|SC5/777|SC5|O|opción|777|7|✔|S/D||||||||||||20;110;120;160;7|F:F2||||||||||
repsic211|SC6|MG|P|pregunta|SC6|170|✔|¿Asiste o asistió a algún establecimiento educativo?|opciones||G-S|Anote código||||true||||20;110;120;170|F:F2||sc6||||||||
repsic211|SC6/1|SC6|O|opción|1|1|✔|Asiste||||||||||||20;110;120;170;1|F:F2||||||||||
repsic211|SC6/2|SC6|O|opción|2|2|✔|No asiste pero asistió||||||||||||20;110;120;170;2|F:F2||||||||||
repsic211|SC6/3|SC6|O|opción|3|3|✔|Nunca asistió|||||SC9|||||||20;110;120;170;3|F:F2||||||||||
repsic211|SC6/88|SC6|O|opción|88|4|✔|NS|||||SC9|||||||20;110;120;170;4|F:F2||||||||||
repsic211|SC6/99|SC6|O|opción|99|5|✔|NC|||||SC9|||||||20;110;120;170;5|F:F2||||||||||
repsic211|SC6/777|SC6|O|opción|777|6|✔|S/D||||||||||||20;110;120;170;6|F:F2||||||||||
repsic211|SC7|MG|P|pregunta|SC7|180|✔|¿Qué nivel educativo cursa o cursó?|opciones||G-S|Anote código||||true||||20;110;120;180|F:F2||sc7||||||||
repsic211|SC7/1|SC7|O|opción|1|1|✔|Centro de Primera Infancia / CDI|||||SC9|||||||20;110;120;180;1|F:F2||||||||||
repsic211|SC7/2|SC7|O|opción|2|2|✔|Jardín  (45 días a 5 años)|||||SC9|||||||20;110;120;180;2|F:F2||||||||||
repsic211|SC7/3|SC7|O|opción|3|3|✔|Primario Común||||||||||||20;110;120;180;3|F:F2||||||||||
repsic211|SC7/4|SC7|O|opción|4|4|✔|EGB||||||||||||20;110;120;180;4|F:F2||||||||||
repsic211|SC7/5|SC7|O|opción|5|5|✔|Secundario||||||||||||20;110;120;180;5|F:F2||||||||||
repsic211|SC7/6|SC7|O|opción|6|6|✔|Polimodal||||||||||||20;110;120;180;6|F:F2||||||||||
repsic211|SC7/7|SC7|O|opción|7|7|✔|Primario especial||||||||||||20;110;120;180;7|F:F2||||||||||
repsic211|SC7/8|SC7|O|opción|8|8|✔|Terciario/Superior no universitario||||||||||||20;110;120;180;8|F:F2||||||||||
repsic211|SC7/9|SC7|O|opción|9|9|✔|Universitario y más||||||||||||20;110;120;180;9|F:F2||||||||||
repsic211|SC7/88|SC7|O|opción|88|13|✔|NS|||||SC9|||||||20;110;120;180;13|F:F2||||||||||
repsic211|SC7/99|SC7|O|opción|99|14|✔|NC|||||SC9|||||||20;110;120;180;14|F:F2||||||||||
